 Fits Input : 	4	Flit output : 	2.07031
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.539062
 Fits Input : 	4	Flit output : 	3.93359
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
 Fits Input : 	4	Flit output : 	0.25
